name	user	system	elapsed	CPU
parsec.blackscholes [1]	178.04	0.25	1:02.27	286
parsec.bodytrack [1]	168.83	0.88	0:47.42	357
parsec.canneal [1]	180.20	0.44	1:17.12	234
parsec.dedup [1]	25.67	5.79	0:06.75	465
parsec.facesim [1]	456.87	1.03	2:13.41	343
parsec.ferret [1]	454.10	1.48	1:23.67	544
parsec.fluidanimate [1]	370.30	0.18	1:34.77	390
parsec.freqmine [1]	505.61	0.66	2:08.30	394
parsec.netdedup [1]	31.32	8.78	0:07.55	531
parsec.netferret [1]	624.44	58.22	9:34.26	118
parsec.netstreamcluster [1]	474.67	5.69	2:01.68	394
parsec.raytrace [1]	220.33	0.26	1:29.98	245
parsec.streamcluster [1]	478.99	0.45	2:09.25	370
parsec.swaptions [1]	0.00	0.00	0:00.00	0
parsec.vips [1]	116.15	1.66	0:29.42	400
parsec.x264 [1]	110.23	0.73	0:28.75	385
splash2.barnes [2]	0.40	0.00	0:00.11	351
splash2.cholesky [2]	0.00	0.00	0:00.00	100
splash2.fft [2]	0.01	0.00	0:00.27	7
splash2.fmm [2]	0.00	0.00	0:00.21	3
splash2.lu_cb [2]	0.08	0.00	0:00.04	219
splash2.lu_ncb [2]	0.08	0.00	0:00.03	280
splash2.ocean_cp [2]	0.13	0.00	0:00.04	313
splash2.ocean_ncp [2]	0.16	0.00	0:00.05	294
splash2.radiosity [2]	3.70	0.02	0:00.95	390
splash2.radix [2]	0.02	0.00	0:00.00	311
splash2.raytrace [2]	0.06	0.00	0:00.02	251
splash2.volrend [2]	0.00	0.00	0:00.00	200
splash2.water_nsquared [2]	0.09	0.00	0:00.02	317
splash2.water_spatial [2]	0.08	0.00	0:00.02	325
splash2x.barnes [2]	161.69	0.92	0:43.95	369
splash2x.cholesky [2]	0.14	0.00	0:00.07	192
splash2x.fft [2]	58.22	9.69	0:36.49	186
splash2x.fmm [2]	118.86	2.59	0:33.53	362
splash2x.lu_cb [2]	122.20	0.06	0:33.56	364
splash2x.lu_ncb [2]	215.51	0.10	0:56.21	383
splash2x.ocean_cp [2]	235.82	1.15	1:02.72	377
splash2x.ocean_ncp [2]	252.28	3.73	1:05.62	390
splash2x.radiosity [2]	204.41	0.16	1:49.60	186
splash2x.radix [2]	42.24	1.90	0:11.18	394
splash2x.raytrace [2]	170.66	0.02	0:42.75	399
splash2x.volrend [2]	150.12	0.48	0:40.06	375
splash2x.water_nsquared [2]	522.62	0.05	2:15.99	384
splash2x.water_spatial [2]	146.00	1.26	0:40.81	360
