real,user,sys,benchmark,threads,loadconfig
92.27,265.21,0.68,default,7,plain
92.36,265.66,0.78,default,7,random
92.76,265.48,0.90,default,7,single
93.57,266.22,0.73,default,7,plain
93.41,266.66,0.68,default,7,random
92.03,264.74,0.78,default,7,single
93.03,265.73,0.65,default,7,plain
93.18,266.49,0.89,default,7,random
93.93,266.82,0.67,default,7,single
92.09,265.00,0.62,default,7,plain
92.81,266.05,0.77,default,7,random
93.51,266.20,0.78,default,7,single
92.14,264.62,0.68,default,7,plain
92.26,265.67,0.59,default,7,random
92.33,265.13,0.65,default,7,single
91.69,264.19,0.64,default,7,plain
92.72,266.06,0.78,default,7,random
93.22,265.83,0.87,default,7,single
93.10,265.69,0.76,default,7,plain
92.07,265.36,0.88,default,7,random
92.18,265.02,0.76,default,7,single
92.98,265.66,0.65,default,7,plain
92.77,266.24,0.58,default,7,random
92.01,264.86,0.77,default,7,single
95.20,267.76,0.66,default,7,plain
92.77,266.03,0.75,default,7,random
93.07,265.69,0.85,default,7,single
92.12,264.50,0.84,default,7,plain
92.95,266.14,0.93,default,7,random
92.86,265.38,0.99,default,7,single
93.43,264.44,2.71,big buffer,7,plain
92.63,266.24,0.82,big buffer,7,random
96.49,269.44,0.78,big buffer,7,single
91.37,264.05,0.64,big buffer,7,plain
94.57,268.24,0.79,big buffer,7,random
93.86,266.84,0.80,big buffer,7,single
93.69,266.28,0.68,big buffer,7,plain
94.26,267.84,0.93,big buffer,7,random
93.06,265.77,0.89,big buffer,7,single
91.60,264.24,0.61,big buffer,7,plain
93.97,267.55,0.98,big buffer,7,random
93.27,266.12,0.98,big buffer,7,single
91.56,264.19,0.65,big buffer,7,plain
94.87,268.36,1.08,big buffer,7,random
92.92,265.72,1.04,big buffer,7,single
90.79,263.52,0.65,big buffer,7,plain
93.31,266.75,1.21,big buffer,7,random
92.86,265.69,1.06,big buffer,7,single
91.72,264.32,0.65,big buffer,7,plain
93.28,266.80,1.14,big buffer,7,random
93.11,266.01,1.09,big buffer,7,single
91.57,264.21,0.66,big buffer,7,plain
93.01,266.45,1.23,big buffer,7,random
93.09,265.90,1.16,big buffer,7,single
91.66,264.34,0.67,big buffer,7,plain
93.55,267.05,1.21,big buffer,7,random
92.83,265.56,1.22,big buffer,7,single
92.38,264.88,0.68,big buffer,7,plain
92.96,266.30,1.33,big buffer,7,random
93.34,266.01,1.22,big buffer,7,single
92.72,265.23,0.62,caching,7,plain
94.62,267.42,0.58,caching,7,random
93.72,266.40,0.62,caching,7,single
93.95,266.63,0.60,caching,7,plain
94.38,267.51,0.51,caching,7,random
94.00,266.76,0.75,caching,7,single
93.68,266.23,0.64,caching,7,plain
94.68,267.72,0.65,caching,7,random
92.98,265.70,0.57,caching,7,single
94.14,266.85,0.61,caching,7,plain
96.46,269.50,0.59,caching,7,random
94.08,266.90,0.59,caching,7,single
94.60,267.24,0.61,caching,7,plain
94.52,267.46,0.66,caching,7,random
94.03,266.63,0.57,caching,7,single
94.67,267.26,0.67,caching,7,plain
95.48,268.32,0.63,caching,7,random
93.91,266.53,0.68,caching,7,single
93.20,265.89,0.62,caching,7,plain
93.16,266.33,0.52,caching,7,random
93.94,266.72,0.61,caching,7,single
93.99,266.54,0.63,caching,7,plain
93.53,266.64,0.60,caching,7,random
93.22,265.96,0.58,caching,7,single
94.37,267.05,0.58,caching,7,plain
94.30,267.40,0.56,caching,7,random
93.53,266.14,0.58,caching,7,single
95.18,267.93,0.53,caching,7,plain
94.18,267.17,0.64,caching,7,random
93.10,265.80,0.56,caching,7,single
96.00,268.74,0.95,single channel,7,plain
92.60,265.64,0.79,single channel,7,random
93.05,266.07,0.74,single channel,7,single
91.31,263.86,0.73,single channel,7,plain
