real,user,sys,benchmark,threads,loadconfig
85.79,588.93,1.58,default,7,plain
83.97,576.61,1.20,default,7,random
85.44,586.58,1.46,default,7,single
85.73,588.58,1.54,default,7,plain
83.78,574.80,1.57,default,7,random
86.02,590.71,1.38,default,7,single
85.44,586.68,1.42,default,7,plain
83.69,574.12,1.63,default,7,random
85.09,584.14,1.49,default,7,single
85.59,587.75,1.36,default,7,plain
83.62,573.90,1.39,default,7,random
86.04,590.86,1.40,default,7,single
85.59,587.57,1.57,default,7,plain
83.53,573.22,1.44,default,7,random
86.68,595.56,1.18,default,7,single
85.80,588.92,1.67,default,7,plain
83.78,575.09,1.30,default,7,random
85.27,585.39,1.45,default,7,single
85.65,587.98,1.56,default,7,plain
83.24,571.47,1.18,default,7,random
85.53,587.35,1.36,default,7,single
85.55,587.50,1.34,default,7,plain
83.66,574.10,1.52,default,7,random
85.20,585.03,1.37,default,7,single
85.64,587.90,1.54,default,7,plain
82.96,569.56,1.18,default,7,random
86.62,595.06,1.24,default,7,single
85.54,587.67,1.12,default,7,plain
83.20,570.92,1.44,default,7,random
85.24,585.32,1.32,default,7,single
85.77,588.39,1.97,big buffer,7,plain
81.69,560.44,1.32,big buffer,7,random
86.65,594.92,1.62,big buffer,7,single
85.64,587.86,1.60,big buffer,7,plain
81.79,561.07,1.44,big buffer,7,random
85.60,587.90,1.30,big buffer,7,single
85.60,587.69,1.51,big buffer,7,plain
81.78,560.95,1.40,big buffer,7,random
86.68,595.29,1.40,big buffer,7,single
85.87,589.16,1.91,big buffer,7,plain
81.84,561.53,1.32,big buffer,7,random
85.39,586.18,1.57,big buffer,7,single
85.98,590.31,1.56,big buffer,7,plain
81.55,559.33,1.50,big buffer,7,random
85.54,587.46,1.28,big buffer,7,single
85.74,588.80,1.38,big buffer,7,plain
82.01,562.30,1.74,big buffer,7,random
85.67,588.32,1.32,big buffer,7,single
86.02,589.76,1.54,big buffer,7,plain
81.67,560.30,1.34,big buffer,7,random
86.21,591.89,1.56,big buffer,7,single
85.64,587.80,1.65,big buffer,7,plain
81.76,560.98,1.32,big buffer,7,random
86.64,594.92,1.57,big buffer,7,single
86.03,589.58,1.25,big buffer,7,plain
81.65,560.07,1.48,big buffer,7,random
85.89,589.39,1.85,big buffer,7,single
85.56,587.49,1.44,big buffer,7,plain
81.48,559.00,1.34,big buffer,7,random
86.49,593.96,1.46,big buffer,7,single
85.48,586.74,1.62,caching,7,plain
86.37,591.68,1.40,caching,7,random
86.60,594.87,1.34,caching,7,single
85.49,586.96,1.44,caching,7,plain
85.74,588.91,1.23,caching,7,random
86.62,594.97,1.38,caching,7,single
85.44,586.46,1.60,caching,7,plain
86.17,591.69,1.44,caching,7,random
86.53,594.32,1.41,caching,7,single
85.48,586.84,1.51,caching,7,plain
86.08,591.11,1.44,caching,7,random
86.76,594.91,1.45,caching,7,single
85.47,586.81,1.50,caching,7,plain
86.06,590.96,1.44,caching,7,random
86.69,595.17,1.62,caching,7,single
85.54,587.26,1.54,caching,7,plain
86.07,591.02,1.46,caching,7,random
86.73,595.87,1.23,caching,7,single
85.49,586.78,1.61,caching,7,plain
86.07,590.94,1.54,caching,7,random
86.68,595.40,1.35,caching,7,single
85.34,585.93,1.48,caching,7,plain
86.02,590.98,1.14,caching,7,random
86.60,595.06,1.17,caching,7,single
85.43,586.59,1.40,caching,7,plain
86.10,591.04,1.62,caching,7,random
86.65,595.02,1.54,caching,7,single
85.39,586.44,1.31,caching,7,plain
86.07,591.11,1.34,caching,7,random
86.59,594.70,1.46,caching,7,single
96.12,661.48,1.37,single channel,7,plain
103.73,714.66,1.49,single channel,7,random
108.85,750.22,1.70,single channel,7,single
96.17,661.71,1.51,single channel,7,plain
