real,user,sys,benchmark,threads,loadconfig,runtime,throughput
397.37,1006.62,0.02,default,3,plain,396.395,7.56821e+06
371.34,1004.82,0.01,default,3,random,370.351,8.10043e+06
350.50,1012.84,0.00,default,3,single,349.517,8.58328e+06
396.00,1004.22,0.00,default,3,plain,395.011,7.59472e+06
395.05,1003.74,0.03,default,3,random,394.064,7.61298e+06
347.32,1017.97,0.00,default,3,single,346.333,8.66217e+06
396.34,1004.96,0.00,default,3,plain,395.351,7.58819e+06
373.08,1006.85,0.02,default,3,random,372.092,8.06252e+06
343.54,1016.68,0.00,default,3,single,342.55,8.75786e+06
380.44,1014.48,0.00,default,3,plain,379.456,7.90605e+06
396.55,1004.75,0.01,default,3,random,395.565,7.58408e+06
349.09,1009.10,0.00,default,3,single,348.101,8.6182e+06
395.57,1012.26,0.01,default,3,plain,394.587,7.60289e+06
355.85,1006.69,0.01,default,3,random,354.862,8.45399e+06
349.15,1020.74,0.01,default,3,single,348.175,8.61636e+06
400.34,1015.21,0.02,default,3,plain,399.348,7.51224e+06
392.68,1004.83,0.00,default,3,random,391.694,7.65904e+06
343.12,1015.83,0.00,default,3,single,342.13,8.76861e+06
381.69,1007.44,0.02,default,3,plain,380.707,7.88008e+06
396.79,1006.05,0.01,default,3,random,395.797,7.57964e+06
344.08,1017.54,0.00,default,3,single,343.096,8.7439e+06
397.09,1006.26,0.00,default,3,plain,396.102,7.57381e+06
382.03,1005.99,0.02,default,3,random,381.043,7.87313e+06
350.35,1012.88,0.01,default,3,single,349.36,8.58713e+06
394.12,1007.37,0.00,default,3,plain,393.129,7.63108e+06
357.21,1010.82,0.01,default,3,random,356.224,8.42167e+06
341.85,1015.78,0.00,default,3,single,340.865,8.80114e+06
395.70,1007.44,0.02,default,3,plain,394.719,7.60035e+06
392.76,1003.83,0.01,default,3,random,391.778,7.65739e+06
350.74,1024.34,0.00,default,3,single,349.758,8.57737e+06
398.51,1009.56,0.00,big buffer,3,plain,397.517,7.54685e+06
380.59,1008.80,0.03,big buffer,3,random,379.616,7.90272e+06
353.74,1032.24,0.00,big buffer,3,single,352.747,8.50468e+06
404.84,1034.40,0.00,big buffer,3,plain,403.863,7.42826e+06
345.05,1023.03,0.00,big buffer,3,random,344.066,8.71926e+06
356.26,1011.05,0.00,big buffer,3,single,355.272,8.44423e+06
392.92,1005.48,0.00,big buffer,3,plain,391.933,7.65437e+06
368.74,1004.46,0.00,big buffer,3,random,367.749,8.15774e+06
344.12,1016.01,0.00,big buffer,3,single,343.139,8.74282e+06
384.10,1004.81,0.00,big buffer,3,plain,383.116,7.83052e+06
377.07,1006.12,0.01,big buffer,3,random,376.081,7.97701e+06
344.56,1016.16,0.01,big buffer,3,single,343.569,8.73187e+06
444.82,1171.39,0.01,big buffer,3,plain,443.84,6.75919e+06
351.43,1003.75,0.00,big buffer,3,random,350.446,8.56052e+06
357.05,1025.19,0.00,big buffer,3,single,356.063,8.42548e+06
396.78,1005.88,0.00,big buffer,3,plain,395.795,7.57969e+06
390.35,1026.76,0.01,big buffer,3,random,389.365,7.70484e+06
347.94,1013.90,0.00,big buffer,3,single,346.954,8.64668e+06
391.36,1002.43,0.01,big buffer,3,plain,390.375,7.68493e+06
354.07,1005.11,0.00,big buffer,3,random,353.091,8.49641e+06
348.19,1012.24,0.00,big buffer,3,single,347.205,8.64043e+06
395.53,1003.09,0.00,big buffer,3,plain,394.545,7.60369e+06
381.22,1004.59,0.01,big buffer,3,random,380.236,7.88984e+06
343.85,1026.68,0.00,big buffer,3,single,342.858,8.74997e+06
391.80,1002.41,0.01,big buffer,3,plain,390.828,7.67602e+06
393.30,1004.01,0.02,big buffer,3,random,392.315,7.64691e+06
348.49,1011.12,0.01,big buffer,3,single,347.502,8.63303e+06
376.50,1005.14,0.01,big buffer,3,plain,375.514,7.98905e+06
364.29,1005.66,0.01,big buffer,3,random,363.309,8.25744e+06
351.95,1010.89,0.00,big buffer,3,single,350.98,8.54748e+06
393.93,1006.65,0.01,caching,3,plain,392.949,7.63458e+06
346.50,1016.93,0.00,caching,3,random,345.509,8.68285e+06
344.14,1026.81,0.00,caching,3,single,343.147,8.74261e+06
396.96,1005.34,0.00,caching,3,plain,395.968,7.57636e+06
344.26,1015.43,0.00,caching,3,random,343.278,8.73927e+06
340.42,1016.68,0.00,caching,3,single,339.428,8.83839e+06
396.27,1005.59,0.01,caching,3,plain,395.287,7.58942e+06
341.85,1017.52,0.00,caching,3,random,340.864,8.80118e+06
339.95,1017.64,0.00,caching,3,single,338.966,8.85045e+06
401.65,1028.60,0.02,caching,3,plain,400.679,7.4873e+06
350.08,1014.14,0.00,caching,3,random,349.09,8.59378e+06
340.67,1015.36,0.00,caching,3,single,339.691,8.83155e+06
392.88,1004.25,0.00,caching,3,plain,391.894,7.65513e+06
347.25,1015.76,0.01,caching,3,random,346.264,8.66391e+06
341.21,1013.50,0.00,caching,3,single,340.22,8.81783e+06
396.47,1005.02,0.01,caching,3,plain,395.479,7.58574e+06
345.86,1016.30,0.00,caching,3,random,344.872,8.69887e+06
341.58,1016.85,0.00,caching,3,single,340.592,8.80818e+06
384.34,1007.04,0.01,caching,3,plain,383.361,7.82552e+06
348.96,1015.24,0.04,caching,3,random,347.964,8.62159e+06
340.58,1016.66,0.00,caching,3,single,339.593,8.8341e+06
383.41,1006.82,0.00,caching,3,plain,382.429,7.8446e+06
341.12,1017.74,0.00,caching,3,random,340.121,8.8204e+06
341.92,1018.32,0.00,caching,3,single,340.946,8.79906e+06
383.41,1007.02,0.00,caching,3,plain,382.425,7.84468e+06
344.84,1016.72,0.01,caching,3,random,343.858,8.72452e+06
341.63,1015.26,0.02,caching,3,single,340.651,8.80667e+06
400.85,1014.46,0.00,caching,3,plain,399.858,7.50266e+06
347.67,1025.92,0.00,caching,3,random,346.685,8.6534e+06
340.63,1015.95,0.00,caching,3,single,339.647,8.8327e+06
383.88,1006.52,0.01,single channel,3,plain,382.889,7.83517e+06
399.14,1013.03,0.01,single channel,3,random,398.146,7.53492e+06
362.19,1010.82,0.00,single channel,3,single,361.205,8.30554e+06
400.02,1014.65,0.01,single channel,3,plain,399.03,7.51822e+06
377.66,1009.30,0.01,single channel,3,random,376.671,7.96451e+06
364.02,1034.28,0.00,single channel,3,single,363.028,8.26382e+06
393.14,1005.40,0.01,single channel,3,plain,392.161,7.64991e+06
342.54,1016.82,0.01,single channel,3,random,341.55,8.78348e+06
357.89,1008.84,0.02,single channel,3,single,356.899,8.40573e+06
393.94,1007.21,0.02,single channel,3,plain,392.952,7.63452e+06
366.11,1009.94,0.00,single channel,3,random,365.12,8.21647e+06
345.44,1017.51,0.01,single channel,3,single,344.446,8.70964e+06
398.38,1009.07,0.01,single channel,3,plain,397.402,7.54903e+06
396.34,1004.96,0.02,single channel,3,random,395.343,7.58835e+06
347.93,1009.73,0.00,single channel,3,single,346.934,8.64717e+06
397.68,1007.35,0.02,single channel,3,plain,396.695,7.56249e+06
366.26,1006.20,0.01,single channel,3,random,365.269,8.21314e+06
346.27,1025.87,0.00,single channel,3,single,345.277,8.68868e+06
396.43,1005.09,0.01,single channel,3,plain,395.433,7.58662e+06
405.08,1025.86,0.01,single channel,3,random,404.099,7.42393e+06
346.41,1018.50,0.01,single channel,3,single,345.423,8.685e+06
397.99,1006.29,0.01,single channel,3,plain,396.999,7.5567e+06
388.34,1007.14,0.03,single channel,3,random,387.356,7.74482e+06
350.27,1012.62,0.00,single channel,3,single,349.286,8.58896e+06
397.11,1005.87,0.00,single channel,3,plain,396.122,7.57341e+06
360.96,1019.73,0.02,single channel,3,random,359.962,8.33421e+06
371.78,1082.71,0.00,single channel,3,single,370.786,8.09092e+06
397.46,1005.88,0.01,single channel,3,plain,396.469,7.5668e+06
360.12,1014.28,0.01,single channel,3,random,359.135,8.35341e+06
345.14,1011.40,0.00,single channel,3,single,344.152,8.71707e+06
