real,user,sys,benchmark,threads,loadconfig,runtime,throughput
232.49,1530.81,2.68,default,7,plain,227.607,123019
227.60,1518.66,2.36,default,7,random,222.752,125701
220.26,1507.87,2.22,default,7,single,216.461,129353
225.94,1538.87,2.47,default,7,random,221.674,126312
220.65,1499.18,2.48,default,7,single,216.054,129597
230.77,1535.65,2.87,default,7,plain,226.713,123504
227.57,1536.98,2.46,default,7,random,222.722,125717
219.53,1497.80,2.48,default,7,single,215.579,129883
233.47,1562.69,2.81,default,7,plain,228.617,122476
227.76,1544.14,2.51,default,7,random,223.599,125224
219.96,1494.27,2.22,default,7,single,216.115,129561
232.15,1530.65,2.67,default,7,plain,227.195,123242
229.72,1553.43,2.56,default,7,random,225.759,124026
220.26,1499.82,2.40,default,7,single,216.293,129454
233.61,1525.69,2.88,big buffer,7,plain
227.30,1537.90,2.46,big buffer,7,random,222.438,125878
223.36,1519.94,2.56,big buffer,7,single,218.657,128054
231.69,1528.93,2.71,big buffer,7,plain,227.619,123013
225.02,1532.70,2.62,big buffer,7,random,220.984,126706
218.92,1493.78,2.44,big buffer,7,single,215.079,130185
232.08,1540.38,2.64,big buffer,7,plain,227.987,122814
225.80,1522.89,2.57,big buffer,7,random,221.753,126266
220.81,1498.73,2.26,big buffer,7,single,216.627,129254
232.63,1559.20,2.93,big buffer,7,plain,228.336,122626
224.52,1525.91,2.48,big buffer,7,random,220.535,126964
221.17,1499.10,2.14,big buffer,7,single,216.485,129339
230.82,1534.26,2.65,big buffer,7,plain,226.578,123577
226.48,1537.35,2.51,big buffer,7,random,221.668,126315
219.44,1496.94,2.27,big buffer,7,single,215.47,129948
231.04,1546.48,2.50,caching,7,plain
240.90,1612.10,2.79,caching,7,random,235.891,118699
234.74,1567.99,2.70,caching,7,single,229.771,121860
233.33,1536.35,2.81,caching,7,plain,228.381,122602
240.73,1593.99,2.89,caching,7,random,235.652,118819
240.62,1585.26,2.77,caching,7,single,236.538,118374
230.82,1554.02,2.51,caching,7,plain,226.819,123447
242.31,1577.75,2.87,caching,7,random,237.359,117965
234.65,1576.23,2.71,caching,7,single,230.598,121423
231.32,1532.58,2.87,caching,7,plain,227.126,123279
239.53,1606.68,2.87,caching,7,random,234.598,119353
238.87,1549.80,2.81,caching,7,single,233.951,119683
233.55,1555.90,2.82,caching,7,plain,228.638,122464
237.74,1565.96,2.51,caching,7,random,232.849,120250
237.63,1579.58,2.87,caching,7,single,232.69,120332
251.04,1603.47,9.71,single channel,7,plain
239.14,1561.17,5.02,single channel,7,random,232.468,120447
220.96,1507.50,2.36,single channel,7,single,217.058,128998
236.52,1563.67,4.67,single channel,7,plain,229.321,122100
237.04,1538.21,4.37,single channel,7,random,231.245,121084
221.50,1504.54,2.44,single channel,7,single,217.28,128866
236.96,1556.19,3.99,single channel,7,plain,230.148,121661
236.51,1535.25,3.78,single channel,7,random,230.218,121624
227.87,1558.35,2.31,single channel,7,single,223.945,125031
240.34,1586.23,5.08,single channel,7,plain,231.724,120833
235.82,1566.65,3.98,single channel,7,random,228.965,122289
221.78,1507.78,2.50,single channel,7,single,217.088,128980
239.51,1567.33,4.72,single channel,7,plain,230.97,121228
233.66,1557.25,3.87,single channel,7,random,228.113,122746
220.55,1505.58,2.51,single channel,7,single,215.926,129674
