real,user,sys,benchmark,threads,loadconfig,runtime,throughput
216.06,127.35,317.08,default,7,plain,212,165587.21
228.06,125.00,337.66,default,7,random,225,155589.69
334.08,138.84,429.80,default,7,single,330,105738.40
222.06,126.02,326.16,default,7,plain,217,161739.49
222.06,129.15,324.21,default,7,random,219,159755.04
321.08,125.06,409.26,default,7,single,318,110001.39
212.06,130.44,318.66,default,7,plain,206,169917.22
212.06,117.20,312.87,default,7,random,208,169202.42
328.08,125.02,420.52,default,7,single,327,106777.10
208.06,117.46,305.50,default,7,plain,205,170866.24
229.06,123.86,324.42,default,7,random,226,154760.47
211.06,116.00,300.25,default,7,single,209,167676.01
216.06,117.16,314.92,default,7,plain,213,164038.87
329.08,142.74,435.14,default,7,random,328,106676.22
329.08,125.70,413.20,default,7,single,327,106783.07
214.06,121.84,310.36,big buffer,7,plain,210,166491.77
237.07,126.88,339.96,big buffer,7,random,234,149962.39
333.08,164.82,460.08,big buffer,7,single,330,105716.28
218.06,132.06,321.40,big buffer,7,plain,213,165083.29
237.07,139.99,361.57,big buffer,7,random,233,150614.50
354.08,152.71,475.13,big buffer,7,single,353,
219.06,122.60,311.55,big buffer,7,plain,215,163384.15
222.07,126.98,331.11,big buffer,7,random,219,161487.89
340.09,133.90,430.17,big buffer,7,single,334,104803.65
215.06,119.40,314.36,big buffer,7,plain,211,165994.49
234.07,132.31,352.41,big buffer,7,random,228,153611.71
352.09,142.10,451.32,big buffer,7,single,345,100968.96
221.06,124.54,318.51,big buffer,7,plain,216,161353.36
211.07,118.67,306.77,big buffer,7,random,208,168439.69
352.09,157.80,472.56,big buffer,7,single,339,103739.75
228.06,129.61,338.06,caching,7,plain,223,158097.78
340.09,169.18,468.87,caching,7,random,333,104734.23
275.08,118.12,361.13,caching,7,single,273,127885.10
210.06,118.05,309.46,caching,7,plain,207,168333.42
339.09,148.38,442.75,caching,7,random,337,103846.60
350.09,149.54,461.89,caching,7,single,338,101543.21
218.06,121.86,319.69,caching,7,plain,215,162795.50
350.09,142.99,446.80,caching,7,random,349,100074.59
355.09,147.84,459.29,caching,7,single,344,102033.94
211.06,117.00,304.58,caching,7,plain,207,168507.87
333.09,124.43,421.31,caching,7,random,330,105862.86
351.09,151.42,465.91,caching,7,single,339,103408.74
230.06,127.78,339.99,caching,7,plain,227,154915.01
345.09,145.52,449.22,caching,7,random,341,102754.48
343.09,131.57,433.56,caching,7,single,342,102224.31
226.06,130.56,330.54,single channel,7,plain,222,157118.49
210.06,128.68,297.19,single channel,7,random,205,171005.12
218.06,121.39,314.75,single channel,7,single,213,164327.29
215.06,120.80,306.71,single channel,7,plain,211,165014.59
211.06,115.70,302.30,single channel,7,random,207,169627.33
327.08,129.90,406.98,single channel,7,single,324,108064.12
218.06,118.02,305.38,single channel,7,plain,214,163683.54
212.06,136.46,325.42,single channel,7,random,207,168218.26
315.08,123.92,392.59,single channel,7,single,314,111386.06
219.06,120.71,310.03,single channel,7,plain,213,164194.63
211.06,121.54,306.34,single channel,7,random,208,167663.08
323.08,130.17,408.76,single channel,7,single,321,108745.57
223.06,127.53,322.77,single channel,7,plain,219,160742.43
339.08,127.57,422.98,single channel,7,random,337,103589.89
311.07,125.44,390.06,single channel,7,single,309,112984.32
